Date,Volume,Percentage
1999-08,9.38,0.011757092
1999-07,9.271,0.000647598
1999-06,9.265,0.004662763
1999-05,9.222,0.001846822
1999-04,9.205,0.005681197
1999-03,9.153,0.007152289
1999-02,9.088,0.004976225
1999-01,9.043,0.000110595
1998-12,9.042,0.004889976
1998-11,8.998,0.006150062
1998-10,8.943,0.013141498
1998-09,8.827,0.006384677
1998-08,8.771,0.001255708
1998-07,8.76,0.009100334
1998-06,8.681,0.003119945
1998-05,8.654,-0.000923574
1998-04,8.662,0.003242993
1998-03,8.634,0.015048201
1998-02,8.506,-0.005029828
1998-01,8.549,0.008493571
1997-12,8.477,-0.001531213
1997-11,8.49,0.004258339
1997-10,8.454,0.006428571
1997-09,8.4,0.00286533
1997-08,8.376,0.006246997
1997-07,8.324,0.010807529
1997-06,8.235,-0.004472921
1997-05,8.272,0.013477089
1997-04,8.162,0.000122534
1997-03,8.161,0.008900977
1997-02,8.089,0.009484588
1997-01,8.013,-0.003853804
1996-12,8.044,0.003994009
1996-11,8.012,0.010085729
1996-10,7.932,0.005833122
1996-09,7.886,0.003307888
1996-08,7.86,0.00408789
1996-07,7.828,0.006169666
1996-06,7.78,-0.001540041
1996-05,7.792,0.014187166
1996-04,7.683,0.00826772
